lid,name,lat,lon,wfo,rfc,wrr,state,minor,moderate,major,code,date_produced,obj_or_subj,interval
ABIK1,Smoky Hill River near Abilene,38.90638889,-97.28416667,TOP,MBRFC,Missouri Region,KS,0.06,0.05,0.05,1,2/8/2023,obj,FMA
ABRN1,Little Nemaha River near Auburn,40.39277778,-95.81277778,OAX,MBRFC,Missouri Region,NE,0.07,0.07,0.05,1,2/8/2023,obj,FMA
ADAK1,Salt Creek (KS) near Ada,39.13916667,-97.83666667,TOP,MBRFC,Missouri Region,KS,0.05,0.05,0.05,1,2/8/2023,obj,FMA
AGYM7,Platte River near Agency,39.68888889,-94.70416667,EAX,MBRFC,Missouri Region,MO,0.44,0.13,0.05,1,2/8/2023,obj,FMA
AKRI4,Big Sioux River at Akron,42.8258,-96.5514,FSD,MBRFC,Missouri Region,IA,0.34,0.27,0.16,1,2/8/2023,obj,FMA
ALDN1,Wood River near Alda,40.8528,-98.4722,GID,MBRFC,Missouri Region,NE,0.23,0.14,0.11,1,2/8/2023,obj,FMA
ALEK1,Mud Creek (KS) at Abilene,38.92972222,-97.22777778,TOP,MBRFC,Missouri Region,KS,0.05,0.05,0.05,1,2/8/2023,obj,FMA
ALTI4,Floyd River at Alton,42.99805556,-96.0175,FSD,MBRFC,Missouri Region,IA,0.05,0.05,0.05,1,2/8/2023,obj,FMA
ARNK1,Smoky Hill River near Arnold,38.8075,-100.0222222,DDC,MBRFC,Missouri Region,KS,0.05,0.05,0.05,1,2/8/2023,obj,FMA
ASLN1,Platte River near Ashland,41.06222222,-96.32472222,OAX,MBRFC,Missouri Region,NE,0.07,0.05,0.05,1,2/8/2023,obj,FMA
ASTN1,Salt Creek near Ashland,41.05166667,-96.33833333,OAX,MBRFC,Missouri Region,NE,0.18,0.06,0.05,1,2/8/2023,obj,FMA
ATCI4,East Nishnabotna River near Atlantic,41.30611111,-95.08472222,DMX,MBRFC,Missouri Region,IA,0.08,0.05,0.05,1,2/8/2023,obj,FMA
ATCK1,Missouri River at Atchison,39.56027778,-95.11333333,EAX,MBRFC,Missouri Region,KS,0.15,0.08,0.05,1,2/8/2023,obj,FMA
ATNS2,James River near Ashton,44.99833333,-98.48055556,ABR,MBRFC,Missouri Region,SD,0.39,0.37,0.28,1,2/8/2023,obj,FMA
ATWC2,South Platte River at Atwood,40.53888889,-103.2672222,BOU,MBRFC,Missouri Region,CO,0.08,0.07,0.05,1,2/8/2023,obj,FMA
